#Procedure: <SS9Procedure.SS9Procedure>,,,,,,,,,,
#Parameters:,,,,,,,,,,
"#	Maximum Temp.: 300 K",,,,,,,,,,
"#	Delay Time: 1 s",,,,,,,,,,
"#	Field Strength: 0 T",,,,,,,,,,
"#	MM1 Address: USB0::0x05E6::0x2110::1421999::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM2 Address: USB0::0x05E6::0x2110::8015516::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM3 Address: USB0::0x05E6::0x2110::1421483::INSTR",,,,,,,,,,
"#	Voltage: False",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	MM4 Adress: USB0::0x05E6::0x2110::1422148::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	Number of Averages: 1",,,,,,,,,,
"#	Your Name: connor",,,,,,,,,,
#Data:,,,,,,,,,,
elapsed_time,T,T_err,MM1_reading,MM1_error,MM2_reading,MM2_error,MM3_reading,MM3_error,MM4_reading,MM4_error
308.3105106,159.4287415,0,0.213771089,0,0.203741431,0,0.020748142,0,-0.000117105,0
310.0131421,159.4287415,0,0.213738933,0,0.20370832,0,0.020746021,0,-6.15E-05,0
311.7320638,159.4235382,0,0.213748529,0,0.203718185,0,0.020747503,0,-6.08E-05,0
313.4486237,159.4183197,0,0.213725358,0,0.203701034,0,0.020748204,0,6.81E-05,0
315.1350737,159.4026794,0,0.213712841,0,0.203692272,0,0.020749899,0,6.74E-05,0
316.8226697,159.3766174,0,0.213705465,0,0.203654855,0,0.020750133,0,6.90E-05,0
318.5147824,159.3505554,0,0.213680073,0,0.203632697,0,0.020749772,0,6.33E-05,0
320.201237,159.3349152,0,0.213664516,0,0.203641414,0,0.020749953,0,6.34E-05,0
321.8905377,159.3088379,0,0.213664039,0,0.203631252,0,0.020749927,0,6.40E-05,0
323.5767021,159.3088379,0,0.213609337,0,0.203611522,0,0.020749498,0,-0.000113404,0
325.2681265,159.2879791,0,0.213619351,0,0.203596398,0,0.02074993,0,-7.30E-05,0
326.9949934,159.2775574,0,0.213577881,0,0.203583464,0,0.020749604,0,-6.06E-05,0
328.7107811,159.2723389,0,0.213586524,0,0.203557208,0,0.020749619,0,6.34E-05,0
330.3976152,159.2620697,0,0.213547304,0,0.203532531,0,0.020747697,0,6.25E-05,0
332.0842619,159.2568512,0,0.213563144,0,0.20355536,0,0.020749241,0,6.28E-05,0
333.7716291,159.2568512,0,0.213520839,0,0.203519269,0,0.020749118,0,6.60E-05,0
335.4575567,159.2723389,0,0.213515415,0,0.203497439,0,0.020749379,0,6.03E-05,0
337.1449351,159.2775574,0,0.213517189,0,0.203482761,0,0.020750657,0,6.43E-05,0
338.8368514,159.2827759,0,0.213474914,0,0.203487962,0,0.020750163,0,-0.000102396,0
340.5267744,159.2879791,0,0.213479936,0,0.20346716,0,0.020751398,0,-4.81E-05,0
342.2460721,159.2879791,0,0.213436365,0,0.203445106,0,0.020749005,0,6.28E-05,0
343.933476,159.2723389,0,0.213442817,0,0.203414186,0,0.020748787,0,6.09E-05,0
345.6232293,159.2723389,0,0.213408127,0,0.203409031,0,0.020749992,0,6.53E-05,0
347.3089929,159.2620697,0,0.213398203,0,0.203408583,0,0.020750793,0,6.53E-05,0
348.9962487,159.2568512,0,0.21338579,0,0.203382939,0,0.020748775,0,6.59E-05,0
350.6839037,159.2620697,0,0.213383048,0,0.20337972,0,0.020750273,0,6.73E-05,0
352.3688853,159.2775574,0,0.213348254,0,0.20337142,0,0.020749439,0,-0.000107824,0
